District,Representative,Party,Prior experience,Education,Assumed Office,Born In,
Florida 17,Tom Rooney.jpg Tom Rooney,,Republican,"Criminal Prosecutor Florida Department of Justice, Attorney",Washington & Jefferson College,,
University of Florida,2009,1970,,,,,
Florida 18,"Patrick Murphy, official portrait, 114th Congress.jpg Patrick Murphy",,Democratic,Accountant,University of Miami,2013,1983
Florida 19,Curt Clawson official congressional photo.jpg Curt Clawson,,Republican,Automotive Executive,Purdue University,,
Harvard Business School,2014*,1959,,,,,
Florida 20,Alcee Hastings Portrait c111-112th Congress.jpg Alcee Hastings,,Democratic,Judge of the United States District Court for the Southern District of Florida,Fisk University,1993,1936
Florida 21,TedDeutsch2016.jpg Ted Deutch,,Democratic,Florida Senate,University of Michigan,,
University of Michigan Law School,2010*,1966,,,,,
Florida 22,"Lois Frankel, Official portrait, 113th Congress.jpg Lois Frankel",,Democratic,"Mayor of West Palm Beach, Florida House of Representatives",Boston University,,
Georgetown University Law Center,2013,1948,,,,,
Florida 23,DWS cropped.jpg Debbie Wasserman Schultz,,Democratic,"Florida Senate, Florida House of Representatives",University of Florida,2005,1966
Florida 24,Frederica Wilson official House portrait.jpg Frederica Wilson,,Democratic,"Florida Senate, Florida House of Representatives, Miami-Dade County Public Schools Board",Fisk University,,
University of Miami,2011,1942,,,,,
Florida 25,Mario Diaz-Ballart Official.jpg Mario Díaz-Balart,,Republican,"Florida Senate, Florida House of Representatives",University of South Florida,2003,1961
Florida 26,CarlosC114.jpg Carlos Curbelo,,Republican,"Public administrator, Miami-Dade County Public Schools Board",University of Miami,2015,1980
Florida 27,Ileana Ros-Lehtinen.jpg Ileana Ros-Lehtinen,,Republican,"Florida Senate, Florida House of Representatives",Florida International University,,
University of Miami,1989*,1952,,,,,
Georgia 1,"Buddy Carter, Official Portrait, 114th Congress.jpg Buddy Carter",,Republican,"Georgia State Senate, Georgia House of Representatives, Mayor of Pooler",Young Harris College,,
University of Georgia,2015,1957,,,,,
Georgia 2,Sanfordbishop.jpeg Sanford Bishop,,Democratic,"Georgia State Senate, Georgia House of Representatives",Morehouse College,1993,1947
Georgia 3,Lynn Westmoreland Official.jpg Lynn Westmoreland,,Republican,Georgia House of Representatives,Georgia State University,2003,1950
Georgia 4,Hank Johnson Official.jpg Hank Johnson,,Democratic,"DeKalb County, Georgia Commissioner, Associate Magistrate Judge",Clark Atlanta University,2007,1954
Georgia 5,John Lewis-2006 (cropped).jpg John Lewis,,Democratic,"Atlanta City Council, Chairman of the Student Nonviolent Coordinating Committee",American Baptist Theological Seminary,1987,1940
Georgia 6,Tom Price.jpg Tom Price,,Republican,"Physician, Georgia State Senate",University of Michigan,2005,1954
Georgia 7,"Rob Woodall, Official Portrait, 112th Congress 2.jpg Rob Woodall",,Republican,"Political aide, Attorney",Furman University,,
University of Georgia,2011,1970,,,,,
Georgia 8,"Austin Scott, Official Portrait, 112th Congress.jpg Austin Scott",,Republican,Georgia House of Representatives,University of Georgia,2011,1969
Georgia 9,Doug Collins official congressional photo.jpg Doug Collins,,Republican,Georgia House of Representatives,North Georgia College,,
New Orleans Baptist Theological Seminary,2013,1966,,,,,
Georgia 10,Jody Hice official portrait.jpg Jody Hice,,Republican,"Radio show host, Southern Baptist pastor",Asbury University,,
Southwestern Baptist Theological Seminary,,,,,,,
Luther Rice Seminary,2015,1960,,,,,
Georgia 11,Barry Loudermilk official photo.jpg Barry Loudermilk,,Republican,"Georgia State Senate, Georgia House of Representatives",U.S. Air Force Community College,,
Wayland Baptist University,2015,1963,,,,,
Georgia 12,"Rick Allen Official Photo, 114th Congress.jpg Rick W. Allen",,Republican,Businessman,Auburn University,2015,1951
Georgia 13,David Scott congressional portrait.jpg David Scott,,Democratic,"Georgia State Senate, Georgia House of Representatives",Florida A&M University,2003,1946
Georgia 14,Tom Graves Official Portrait.jpg Tom Graves,,Republican,"Georgia House of Representatives,",University of Georgia,2010*,1970
Hawaii 1,Colleen Hanabusa Official Photo.jpg Colleen Hanabusa,,Democratic,Hawaii Senate,University of Hawaii at Manoa,2016,1951
Hawaii 2,"Tulsi Gabbard, official portrait, 113th Congress.jpg Tulsi Gabbard",,Democratic,"Honolulu City Council, Hawaii House of Representatives",Hawaii Pacific University,,
Officer Candidate School,2013,1981,,,,,
Idaho 1,"Raúl Labrador, Official Portrait, 112th Congress.jpg Raúl Labrador",,Republican,Idaho House of Representatives,Brigham Young University,,
University of Washington,2011,1967,,,,,
Idaho 2,"Mike Simpson, official Congressional photo portrait.jpg Mike Simpson",,Republican,"Speaker of the Idaho House of Representatives, Blackfoot, Idaho City Council",Utah State University,1999,1950
Illinois 1,Bobby Rush 113th Congress.jpg Bobby Rush,,Democratic,Chicago City Council,Roosevelt University,,
University of Illinois,,,,,,,
McCormick Theological Seminary,1993,1946,,,,,
Illinois 2,"Robin Kelly, 113th Congress.png Robin Kelly",,Democratic,"Illinois House of Representatives, Chief of Staff to the Illinois Treasurer, Chief Administrative Officer to the Cook County President",Bradley University,,
Northern Illinois University,2013*,1956,,,,,
Illinois 3,Dan lipinski lg.JPG Dan Lipinski,,Democratic,Member of the University of Notre Dame and University of Tennessee Faculty,Northwestern University,,
Stanford University,,,,,,,
Duke University,2005,1966,,,,,
Illinois 4,LVGOfficialPhotoPortrait.jpg Luis Gutiérrez,,Democratic,Chicago City Council,Northeastern Illinois University,1993,1953
Illinois 5,Mikequigley.jpeg Mike Quigley,,Democratic,Cook County Board of Commissioners,Roosevelt University,,
Loyola University Chicago School of Law,,,,,,,
University of Chicago,2009*,1959,,,,,
Illinois 6,Peter J. Roskam 113th Congress.jpg Peter Roskam,,Republican,"Illinois Senate, Illinois House of Representatives",University of Illinois,,
Chicago–Kent College of Law,2007,1961,,,,,
Illinois 7,DannyKDavis113th.jpg Danny K. Davis,,Democratic,"Chicago City Council, Cook County Board of Commissioners",University of Arkansas at Pine Bluff,,
Chicago State University,,,,,,,
Union Institute and University,1997,1941,,,,,
Illinois 8,"Tammy Duckworth, official portrait, 113th Congress.jpg Tammy Duckworth",,Democratic,Assistant Secretary of the Department of Veterans Affairs for Public and Intergovernmental Affairs,University of Hawai_i at M_noa,,
George Washington University,,,,,,,
Northern Illinois University,2013,1968,,,,,
Illinois 9,Janschakowskyemailsmall.jpg Jan Schakowsky,,Democratic,Illinois House of Representatives,University of Illinois,1999,1944
Illinois 10,Robert Dold official portrait 114th Congress.jpg Robert Dold,,Republican,U.S. House,Denison University,,
Indiana University,,,,,,,
Kellogg School of Management,2015,1969,,,,,
Illinois 11,"Bill Foster, Official Portrait, 113th Congress.jpg Bill Foster",,Democratic,U.S. House,University of Wisconsin–Madison,,
Harvard University,2013,1955,,,,,
Illinois 12,Mike Bost official photo.jpg Mike Bost,,Republican,Illinois House of Representatives,University of Illinois,2015,1960
Illinois 13,"Rodney Davis, Official Portrait, 113th Congress.jpg Rodney Davis",,Republican,Congressional Staffer,Millikin University,2013,1970
Illinois 14,Randy Hultgren Official Photo 112.jpg Randy Hultgren,,Republican,"Illinois Senate, Illinois House of Representatives, DuPage County, Illinois Board of Commissioners",Bethel University,,
Chicago-Kent College of Law,2011,1966,,,,,
Illinois 15,Johnshik.jpg John Shimkus,,Republican,"Madison County, Illinois Treasurer",United States Military Academy,,
Southern Illinois University,1997,1958,,,,,
Illinois 16,Adam Kinzinger official congressional photo.jpg Adam Kinzinger,,Republican,"McLean County, Illinois Board of Commissioners",Illinois State University,2011,1978
Illinois 17,Bustos-IL17-pic.jpg Cheri Bustos,,Democratic,East Moline City Council,University of Maryland,,
University of Illinois at Springfield,2013,1961,,,,,
Illinois 18,Darin LaHood official congressional photo.jpg Darin LaHood,,Republican,"Illinois Senate, Prosecutor U.S. Attorney's Office, Deputy Prosecutor Tazewell County, Illinois",John Marshall Law School,,
Loras College,2015*,1968,,,,,
