Name,BirthDate,CurrentDate,CurrentAge,Gender,Address,Contact_URL,Url,Phone,Party,DateInOffice,EndOfTerm,YearsInOffice,AgeAtTakingOfficeYear,StateAbb,State,District,OfficeAddress,Position,BelieveClimateChange,Quote,QuoteSource,QuoteURL
Cynthia M. Lummis,10-Sep-54,15-Dec-16,62,F,2433 Rayburn HOB; Washington DC 20515-5000,http://lummis.house.gov/contact/,http://lummis.house.gov,202-225-2311,Republican,6-Jan-09,3-Jan-17,7,54,WY,Wyoming,1,2433 Rayburn House Office Building,rep,,,,
Dan Benishek,20-Apr-52,15-Dec-16,64,M,514 Cannon HOB; Washington DC 20515-2201,https://benishek.house.gov/contact-me/email-me,http://benishek.house.gov,202-225-4735,Republican,5-Jan-11,3-Jan-17,5,58,MI,Michigan,2,514 Cannon House Office Building,rep,,,,
Dan Newhouse,10-Jul-55,15-Dec-16,61,M,1641 Longworth HOB; Washington DC 20515-4704,,https://newhouse.house.gov,202-225-5816,Republican,6-Jan-15,3-Jan-17,1,59,WA,Washington,5,1641 Longworth House Office Building,rep,,,,
Dana Rohrabacher,21-Jun-47,15-Dec-16,69,M,2300 Rayburn HOB; Washington DC 20515-0548,https://rohrabacher.house.gov/contact/email-me,http://rohrabacher.house.gov,202-225-2415,Republican,3-Jan-89,3-Jan-17,27,41,CA,California,49,2300 Rayburn House Office Building,rep,,,,
Daniel Coats,16-May-43,15-Dec-16,73,M,493 Russell Senate Office Building Washington DC 20510,http://www.coats.senate.gov/contact/,http://www.coats.senate.gov,202-224-5623,Republican,5-Jan-81,3-Jan-17,35,37,IN,Indiana,,493 Russell Senate Office Building,sen,,,,
Daniel Lipinski,15-Jul-66,15-Dec-16,50,M,2346 Rayburn HOB; Washington DC 20515-1303,https://lipinskiforms.house.gov/contact-form,http://lipinski.house.gov,202-225-5701,Democrat,4-Jan-05,3-Jan-17,11,38,IL,Illinois,4,2346 Rayburn House Office Building,rep,Yes,,,
Daniel M. Donovan Jr.,6-Nov-56,15-Dec-16,60,M,1725 Longworth HOB; Washington DC 20515-3211,,https://donovan.house.gov,202-225-3371,Republican,12-May-15,3-Jan-17,1,58,NY,New York,12,1725 Longworth House Office Building,rep,,,,
Daniel Sullivan,13-Nov-64,15-Dec-16,52,M,702 Hart Senate Office Building Washington DC 20510,,http://www.sullivan.senate.gov,202-224-3004,Republican,6-Jan-15,3-Jan-21,1,50,AK,Alaska,,702 Hart Senate Office Building,sen,,,,
Daniel T. Kildee,11-Aug-58,15-Dec-16,58,M,227 Cannon HOB; Washington DC 20515-2205,https://dankildee.house.gov/contact/email-me,http://dankildee.house.gov,202-225-3611,Democrat,3-Jan-13,3-Jan-17,3,54,MI,Michigan,6,227 Cannon House Office Building,rep,Yes,,,
Daniel Webster,27-Apr-49,15-Dec-16,67,M,1039 Longworth HOB; Washington DC 20515-0910,https://webster.house.gov/contact/contactform.htm,http://webster.house.gov,202-225-2176,Republican,5-Jan-11,3-Jan-17,5,61,FL,Florida,11,1039 Longworth House Office Building,rep,,,,
Danny K. Davis,6-Sep-41,15-Dec-16,75,M,2159 Rayburn HOB; Washington DC 20515-1307,https://davis.house.gov/email-me,http://davis.house.gov,202-225-5006,Democrat,7-Jan-97,3-Jan-17,19,55,IL,Illinois,8,2159 Rayburn House Office Building,rep,Yes,,,
Darin LaHood,5-Jul-68,15-Dec-16,48,M,2464 Rayburn HOB; Washington DC 20515-1318,https://lahood.house.gov/contact/email,https://lahood.house.gov/,202-225-6201,Republican,17-Sep-15,3-Jan-17,1,47,IL,Illinois,19,2464 Rayburn House Office Building,rep,,,,
Darrell E. Issa,1-Nov-53,15-Dec-16,63,M,2269 Rayburn HOB; Washington DC 20515-0549,http://issa.house.gov/contact/contact-me,http://issa.house.gov,202-225-3906,Republican,3-Jan-01,3-Jan-17,15,47,CA,California,50,2269 Rayburn House Office Building,rep,,,,
Dave Brat,27-Jul-64,15-Dec-16,52,M,330 Cannon HOB; Washington DC 20515-4607,http://brat.house.gov/contact,http://brat.house.gov,202-225-2815,Republican,12-Nov-14,3-Jan-17,2,50,VA,Virginia,8,330 Cannon House Office Building,rep,,,,
David A. Trott,16-Oct-60,15-Dec-16,56,M,1722 Longworth HOB; Washington DC 20515-2211,,https://trott.house.gov,202-225-8171,Republican,6-Jan-15,3-Jan-17,1,54,MI,Michigan,12,1722 Longworth House Office Building,rep,,,,
David B. McKinley,28-Mar-47,15-Dec-16,69,M,412 Cannon HOB; Washington DC 20515-4801,https://mckinleyforms.house.gov/email-me,http://mckinley.house.gov,202-225-4172,Republican,5-Jan-11,3-Jan-17,5,63,WV,West Virginia,2,412 Cannon House Office Building,rep,,,,
David E. Price,17-Aug-40,15-Dec-16,76,M,2108 Rayburn HOB; Washington DC 20515-3304,https://price.house.gov/contact,http://price.house.gov,202-225-1784,Democrat,6-Jan-87,3-Jan-17,29,46,NC,North Carolina,5,2108 Rayburn House Office Building,rep,Yes,,,
David G. Reichert,29-Aug-50,15-Dec-16,66,M,1127 Longworth HOB; Washington DC 20515-4708,https://reichert.house.gov/contact-me,http://reichert.house.gov,202-225-7761,Republican,4-Jan-05,3-Jan-17,11,54,WA,Washington,9,1127 Longworth House Office Building,rep,,,,
David G. Valadao,14-Apr-77,15-Dec-16,39,M,1004 Longworth HOB; Washington DC 20515-0521,http://valadao.house.gov/contact/,http://valadao.house.gov,202-225-4695,Republican,3-Jan-13,3-Jan-17,3,35,CA,California,22,1004 Longworth House Office Building,rep,,,,
David Loebsack,23-Dec-52,15-Dec-16,63,M,1527 Longworth HOB; Washington DC 20515-1502,https://loebsack.house.gov/forms/writeyourrep/,http://loebsack.house.gov,202-225-6576,Democrat,4-Jan-07,3-Jan-17,9,54,IA,Iowa,3,1527 Longworth House Office Building,rep,Yes,,,
David N. Cicilline,15-Jul-61,15-Dec-16,55,M,2244 Rayburn HOB; Washington DC 20515-3901,https://cicilline.house.gov/contact-me/email-me,http://cicilline.house.gov,202-225-4911,Democrat,5-Jan-11,3-Jan-17,5,49,RI,Rhode Island,2,2244 Rayburn House Office Building,rep,Yes,,,
David P. Joyce,17-Mar-57,15-Dec-16,59,M,1124 Longworth HOB; Washington DC 20515-3514,https://joyce.house.gov/email-me,http://joyce.house.gov,202-225-5731,Republican,3-Jan-13,3-Jan-17,3,55,OH,Ohio,15,1124 Longworth House Office Building,rep,,,,
David P. Roe,21-Jul-45,15-Dec-16,71,M,407 Cannon HOB; Washington DC 20515-4201,https://roe.house.gov/contact/contactform.htm?zip5=37813&zip4=1659,http://roe.house.gov,202-225-6356,Republican,6-Jan-09,3-Jan-17,7,63,TN,Tennessee,2,407 Cannon House Office Building,rep,,,,
David Perdue,10-Dec-49,15-Dec-16,67,M,383 Russell Senate Office Building Washington DC 20510,,http://www.perdue.senate.gov,202-224-3521,Republican,6-Jan-15,3-Jan-21,1,65,GA,Georgia,,383 Russell Senate Office Building,sen,,,,
David Rouzer,16-Feb-72,15-Dec-16,44,M,424 Cannon HOB; Washington DC 20515-3307,,https://rouzer.house.gov,202-225-2731,Republican,6-Jan-15,3-Jan-17,1,42,NC,North Carolina,8,424 Cannon House Office Building,rep,,,,
David Schweikert,3-Mar-62,15-Dec-16,54,M,409 Cannon HOB; Washington DC 20515-0306,https://schweikert.house.gov/contact-form,http://schweikert.house.gov,202-225-2190,Republican,5-Jan-11,3-Jan-17,5,48,AZ,Arizona,7,409 Cannon House Office Building,rep,,,,
David Scott,27-Jun-45,15-Dec-16,71,M,225 Cannon HOB; Washington DC 20515-1013,https://davidscott.house.gov/contact/contactform.htm,http://davidscott.house.gov,202-225-2939,Democrat,7-Jan-03,3-Jan-17,13,57,GA,Georgia,14,225 Cannon House Office Building,rep,Yes,,,
David Vitter,3-May-61,15-Dec-16,55,M,516 Hart Senate Office Building Washington DC 20510,http://www.vitter.senate.gov/contact/email-senator-vitter,http://www.vitter.senate.gov,202-224-4623,Republican,8-Jun-99,3-Jan-17,17,38,LA,Louisiana,,516 Hart Senate Office Building,sen,,,,
David W. Jolly,31-Oct-72,15-Dec-16,44,M,1728 Longworth HOB; Washington DC 20515-0913,https://jolly.house.gov/contact/email-me,http://jolly.house.gov,202-225-5961,Republican,11-Mar-14,3-Jan-17,2,41,FL,Florida,14,1728 Longworth House Office Building,rep,,,,
David Young,11-May-68,15-Dec-16,48,M,515 Cannon HOB; Washington DC 20515-1503,,https://davidyoung.house.gov,202-225-5476,Republican,6-Jan-15,3-Jan-17,1,46,IA,Iowa,4,515 Cannon House Office Building,rep,,,,
Dean Heller,10-May-60,15-Dec-16,56,M,324 Hart Senate Office Building Washington DC 20510,http://www.heller.senate.gov/public/index.cfm/contact-form,http://www.heller.senate.gov,202-224-6244,Republican,4-Jan-07,3-Jan-19,9,46,NV,Nevada,,324 Hart Senate Office Building,sen,,,,
Deb Fischer,1-Mar-51,15-Dec-16,65,F,454 Russell Senate Office Building Washington DC 20510,http://www.fischer.senate.gov/public/?p=email-deb,http://www.fischer.senate.gov,202-224-6551,Republican,3-Jan-13,3-Jan-19,3,61,NE,Nebraska,,454 Russell Senate Office Building,sen,,,,
Debbie Dingell,23-Nov-53,15-Dec-16,63,F,116 Cannon HOB; Washington DC 20515-2212,,https://debbiedingell.house.gov,202-225-4071,Democrat,6-Jan-15,3-Jan-17,1,61,MI,Michigan,13,116 Cannon House Office Building,rep,Yes,,,
Debbie Stabenow,29-Apr-50,15-Dec-16,66,F,731 Hart Senate Office Building Washington DC 20510,http://www.stabenow.senate.gov/?p=contact,http://www.stabenow.senate.gov,202-224-4822,Democrat,7-Jan-97,3-Jan-19,19,46,MI,Michigan,,731 Hart Senate Office Building,sen,Yes,,,
Debbie Wasserman Schultz,27-Sep-66,15-Dec-16,50,F,1114 Longworth HOB; Washington DC 20515-0923,http://wassermanschultz.house.gov/contact/email-me.shtml,http://wassermanschultz.house.gov,202-225-7931,Democrat,4-Jan-05,3-Jan-17,11,38,FL,Florida,24,1114 Longworth House Office Building,rep,Yes,,,
Dennis A. Ross,18-Oct-59,15-Dec-16,57,M,229 Cannon HOB; Washington DC 20515-0915,https://dennisross.house.gov/forms/writeyourrep/,http://dennisross.house.gov,202-225-1252,Republican,5-Jan-11,3-Jan-17,5,51,FL,Florida,16,229 Cannon House Office Building,rep,,,,
Denny Heck,29-Jul-52,15-Dec-16,64,M,425 Cannon HOB; Washington DC 20515-4710,https://dennyheck.house.gov/contact/email-me,http://dennyheck.house.gov,202-225-9740,Democrat,3-Jan-13,3-Jan-17,3,60,WA,Washington,11,425 Cannon House Office Building,rep,Yes,,,
Derek Kilmer,1-Jan-74,15-Dec-16,42,M,1520 Longworth HOB; Washington DC 20515-4706,https://kilmer.house.gov/contact/email-me,http://kilmer.house.gov,202-225-5916,Democrat,3-Jan-13,3-Jan-17,3,39,WA,Washington,7,1520 Longworth House Office Building,rep,Yes,,,
Devin Nunes,1-Oct-73,15-Dec-16,43,M,1013 Longworth HOB; Washington DC 20515-0522,https://nunes.house.gov/contactform/default.aspx,http://nunes.house.gov,202-225-2523,Republican,7-Jan-03,3-Jan-17,13,29,CA,California,23,1013 Longworth House Office Building,rep,,,,
Diana DeGette,29-Jul-57,15-Dec-16,59,F,2368 Rayburn HOB; Washington DC 20515-0601,https://degette.house.gov/contact/send-me-an-email/email-me,http://degette.house.gov,202-225-4431,Democrat,7-Jan-97,3-Jan-17,19,39,CO,Colorado,2,2368 Rayburn House Office Building,rep,Yes,,,
Diane Black,16-Jan-51,15-Dec-16,65,F,1131 Longworth HOB; Washington DC 20515-4206,https://black.house.gov/contact-me/email-me,http://black.house.gov,202-225-4231,Republican,5-Jan-11,3-Jan-17,5,59,TN,Tennessee,7,1131 Longworth House Office Building,rep,,,,
Dianne Feinstein,22-Jun-33,15-Dec-16,83,F,331 Hart Senate Office Building Washington DC 20510,https://www.feinstein.senate.gov/public/index.cfm/e-mail-me,http://www.feinstein.senate.gov,202-224-3841,Democrat,10-Nov-92,3-Jan-19,24,59,CA,California,,331 Hart Senate Office Building,sen,Yes,,,
Dina Titus,23-May-50,15-Dec-16,66,F,401 Cannon HOB; Washington DC 20515-2801,https://titus.house.gov/contact/email-me,https://titus.house.gov,202-225-5965,Democrat,6-Jan-09,3-Jan-17,7,58,NV,Nevada,2,401 Cannon House Office Building,rep,Yes,,,
Don Young,9-Jun-33,15-Dec-16,83,M,2314 Rayburn HOB; Washington DC 20515-0200,https://donyoung.house.gov/forms/writeyourrep/,http://donyoung.house.gov,202-225-5765,Republican,3-Jan-73,3-Jan-17,43,39,AK,Alaska,1,2314 Rayburn House Office Building,rep,,,,
Donald M. Payne Jr.,17-Dec-58,15-Dec-16,57,M,103 Cannon HOB; Washington DC 20515-3010,http://payne.house.gov/contact/email-me,http://payne.house.gov,202-225-3436,Democrat,15-Nov-12,3-Jan-17,4,53,NJ,New Jersey,11,103 Cannon House Office Building,rep,Yes,,,
Donald Norcross,13-Dec-58,15-Dec-16,58,M,1531 Longworth HOB; Washington DC 20515-3001,http://norcross.house.gov/contact,http://norcross.house.gov,202-225-6501,Democrat,12-Nov-14,3-Jan-17,2,55,NJ,New Jersey,2,1531 Longworth House Office Building,rep,Yes,,,
Donald S. Beyer Jr.,20-Jun-50,15-Dec-16,66,M,431 Cannon HOB; Washington DC 20515-4608,,http://beyer.house.gov,202-225-4376,Democrat,6-Jan-15,3-Jan-17,1,64,VA,Virginia,9,431 Cannon House Office Building,rep,Yes,,,
Donna F. Edwards,28-Jun-58,15-Dec-16,58,F,2445 Rayburn HOB; Washington DC 20515-2004,https://forms.house.gov/formdonnaedwards/issue_subscribe.shtml,http://donnaedwards.house.gov,202-225-8699,Democrat,19-Jun-08,3-Jan-17,8,49,MD,Maryland,5,2445 Rayburn House Office Building,rep,Yes,,,
Doris O. Matsui,25-Sep-44,15-Dec-16,72,F,2311 Rayburn HOB; Washington DC 20515-0506,https://matsui.house.gov/email-representative-matsui,http://matsui.house.gov,202-225-7163,Democrat,10-Mar-05,3-Jan-17,11,60,CA,California,7,2311 Rayburn House Office Building,rep,Yes,,,
Doug Collins,16-Aug-66,15-Dec-16,50,M,1504 Longworth HOB; Washington DC 20515-1009,https://dougcollins.house.gov/email-me,http://dougcollins.house.gov,202-225-9893,Republican,3-Jan-13,3-Jan-17,3,46,GA,Georgia,10,1504 Longworth House Office Building,rep,,,,
Doug LaMalfa,2-Jul-60,15-Dec-16,56,M,322 Cannon HOB; Washington DC 20515-0501,https://lamalfa.house.gov/contact/email-me,http://lamalfa.house.gov,202-225-3076,Republican,3-Jan-13,3-Jan-17,3,52,CA,California,2,322 Cannon House Office Building,rep,,,,
Doug Lamborn,24-May-54,15-Dec-16,62,M,2402 Rayburn HOB; Washington DC 20515-0605,https://lambornforms.house.gov/contact-form,http://lamborn.house.gov,202-225-4422,Republican,4-Jan-07,3-Jan-17,9,52,CO,Colorado,6,2402 Rayburn House Office Building,rep,,,,
Duncan Hunter,7-Dec-76,15-Dec-16,40,M,2429 Rayburn HOB; Washington DC 20515-0550,https://hunter.house.gov/contact-me/email-me,http://hunter.house.gov,202-225-5672,Republican,6-Jan-09,3-Jan-17,7,32,CA,California,51,2429 Rayburn House Office Building,rep,,,,
Dwight Evans,16-May-54,15-Dec-16,62,M,2301 Rayburn HOB; Washington DC 20515-3802,https://evans.house.gov/contact/email,https://evans.house.gov/,202-225-4001,Democrat,14-Nov-16,3-Jan-17,0,62,PA,Pennsylvania,3,2301 Rayburn House Office Building,rep,Yes,,,
E. Scott Rigell,28-May-60,15-Dec-16,56,M,418 Cannon HOB; Washington DC 20515-4602,https://rigell.house.gov/contact/contactform.htm,http://rigell.house.gov,202-225-4215,Republican,5-Jan-11,3-Jan-17,5,50,VA,Virginia,3,418 Cannon House Office Building,rep,,,,
Earl Blumenauer,16-Aug-48,15-Dec-16,68,M,1111 Longworth HOB; Washington DC 20515-3703,https://forms.house.gov/blumenauer/webforms/issue_subscribe.html,http://blumenauer.house.gov,202-225-4811,Democrat,21-May-96,3-Jan-17,20,47,OR,Oregon,4,1111 Longworth House Office Building,rep,Yes,,,
"Earl L. ""Buddy"" Carter",6-Sep-57,15-Dec-16,59,M,432 Cannon HOB; Washington DC 20515-1001,,http://buddycarter.house.gov,202-225-5831,Republican,6-Jan-15,3-Jan-17,1,57,GA,Georgia,2,432 Cannon House Office Building,rep,,,,
Ed Perlmutter,1-May-53,15-Dec-16,63,M,1410 Longworth HOB; Washington DC 20515-0607,https://forms.house.gov/perlmutter/webforms/contact.shtml,http://perlmutter.house.gov,202-225-2645,Democrat,4-Jan-07,3-Jan-17,9,53,CO,Colorado,8,1410 Longworth House Office Building,rep,Yes,,,
Eddie Bernice Johnson,3-Dec-35,15-Dec-16,81,F,2468 Rayburn HOB; Washington DC 20515-4330,https://ebjohnson.house.gov/contact/email-me,http://ebjohnson.house.gov,202-225-8885,Democrat,5-Jan-93,3-Jan-17,23,57,TX,Texas,31,2468 Rayburn House Office Building,rep,Yes,,,
Edward J. Markey,11-Jul-46,15-Dec-16,70,M,255 Dirksen Senate Office Building Washington DC 20510,http://www.markey.senate.gov/contact,http://www.markey.senate.gov,202-224-2742,Democrat,14-Jan-75,3-Jan-21,41,28,MA,Massachusetts,,255 Dirksen Senate Office Building,sen,Yes,,,
Edward R. Royce,12-Oct-51,15-Dec-16,65,M,2310 Rayburn HOB; Washington DC 20515-0539,https://royce.house.gov/contact/contactform.htm,http://royce.house.gov,202-225-4111,Republican,5-Jan-93,3-Jan-17,23,41,CA,California,40,2310 Rayburn House Office Building,rep,,,,
Elijah E. Cummings,18-Jan-51,15-Dec-16,65,M,2230 Rayburn HOB; Washington DC 20515-2007,https://cummings.house.gov/contact-me/email-me,http://cummings.house.gov,202-225-4741,Democrat,16-Apr-96,3-Jan-17,20,45,MD,Maryland,8,2230 Rayburn House Office Building,rep,Yes,,,
Eliot L. Engel,18-Feb-47,15-Dec-16,69,M,2462 Rayburn HOB; Washington DC 20515-3216,https://engel.house.gov/write-your-rep1,http://engel.house.gov,202-225-2464,Democrat,3-Jan-89,3-Jan-17,27,41,NY,New York,17,2462 Rayburn House Office Building,rep,Yes,,,
Elise M. Stefanik,2-Jul-84,15-Dec-16,32,F,512 Cannon HOB; Washington DC 20515-3221,,https://stefanik.house.gov,202-225-4611,Republican,6-Jan-15,3-Jan-17,1,30,NY,New York,22,512 Cannon House Office Building,rep,,,,
Elizabeth H. Esty,25-Aug-59,15-Dec-16,57,F,405 Cannon HOB; Washington DC 20515-0705,http://esty.house.gov/contact,http://esty.house.gov,202-225-4476,Democrat,3-Jan-13,3-Jan-17,3,53,CT,Connecticut,6,405 Cannon House Office Building,rep,Yes,,,
Elizabeth Warren,22-Jun-49,15-Dec-16,67,F,317 Hart Senate Office Building Washington DC 20510,http://www.warren.senate.gov/?p=email_senator#thisForm,http://www.warren.senate.gov,202-224-4543,Democrat,3-Jan-13,3-Jan-19,3,63,MA,Massachusetts,,317 Hart Senate Office Building,sen,Yes,,,
Emanuel Cleaver,26-Oct-44,15-Dec-16,72,M,2335 Rayburn HOB; Washington DC 20515-2505,https://cleaver.house.gov/contact/email-me,http://cleaver.house.gov,202-225-4535,Democrat,4-Jan-05,3-Jan-17,11,60,MO,Missouri,6,2335 Rayburn House Office Building,rep,Yes,,,
"Eric A. ""Rick"" Crawford",22-Jan-66,15-Dec-16,50,M,1711 Longworth HOB; Washington DC 20515-0401,http://crawford.house.gov/contact/,http://crawford.house.gov,202-225-4076,Republican,5-Jan-11,3-Jan-17,5,44,AR,Arkansas,2,1711 Longworth House Office Building,rep,,,,
Eric Swalwell,16-Nov-80,15-Dec-16,36,M,129 Cannon HOB; Washington DC 20515-0515,http://swalwell.house.gov/contact-me/email-eric/,http://swalwell.house.gov,202-225-5065,Democrat,3-Jan-13,3-Jan-17,3,32,CA,California,16,129 Cannon House Office Building,rep,Yes,,,
Erik Paulsen,14-May-65,15-Dec-16,51,M,127 Cannon HOB; Washington DC 20515-2303,https://paulsenforms.house.gov/contact-me,http://paulsen.house.gov,202-225-2871,Republican,6-Jan-09,3-Jan-17,7,43,MN,Minnesota,4,127 Cannon House Office Building,rep,,,,
Evan H. Jenkins,12-Sep-60,15-Dec-16,56,M,502 Cannon HOB; Washington DC 20515-4803,,https://evanjenkins.house.gov,202-225-3452,Republican,6-Jan-15,3-Jan-17,1,54,WV,West Virginia,4,502 Cannon House Office Building,rep,,,,
F. James Sensenbrenner Jr.,14-Jun-43,15-Dec-16,73,M,2449 Rayburn HOB; Washington DC 20515-4905,http://sensenbrenner.house.gov/contact/email.htm,http://sensenbrenner.house.gov,202-225-5101,Republican,15-Jan-79,3-Jan-17,37,35,WI,Wisconsin,6,2449 Rayburn House Office Building,rep,,,,
Filemon Vela,13-Feb-63,15-Dec-16,53,M,437 Cannon HOB; Washington DC 20515-4334,https://forms.house.gov/vela/webforms/email-me.shtml,http://vela.house.gov,202-225-9901,Democrat,3-Jan-13,3-Jan-17,3,49,TX,Texas,35,437 Cannon House Office Building,rep,Yes,,,
Frank A. LoBiondo,12-May-46,15-Dec-16,70,M,2427 Rayburn HOB; Washington DC 20515-3002,https://lobiondo.house.gov/contact-me/email-me,http://lobiondo.house.gov,202-225-6572,Republican,4-Jan-95,3-Jan-17,21,48,NJ,New Jersey,3,2427 Rayburn House Office Building,rep,,,,
Frank C. Guinta,26-Sep-70,15-Dec-16,46,M,326 Cannon HOB; Washington DC 20515-2901,,https://guinta.house.gov,202-225-5456,Republican,5-Jan-11,3-Jan-17,5,40,NH,New Hampshire,2,326 Cannon House Office Building,rep,,,,
Frank D. Lucas,6-Jan-60,15-Dec-16,56,M,2405 Rayburn HOB; Washington DC 20515-3603,https://lucas.house.gov/contact-me/email-me,http://lucas.house.gov,202-225-5565,Republican,10-May-93,3-Jan-17,23,33,OK,Oklahoma,4,2405 Rayburn House Office Building,rep,,,,
Frank Pallone Jr.,30-Oct-51,15-Dec-16,65,M,237 Cannon HOB; Washington DC 20515-3006,https://pallone.house.gov/contact-me/email-me,https://pallone.house.gov,202-225-4671,Democrat,6-Jan-87,3-Jan-17,29,35,NJ,New Jersey,7,237 Cannon House Office Building,rep,Yes,,,
Fred Upton,23-Apr-53,15-Dec-16,63,M,2183 Rayburn HOB; Washington DC 20515-2206,http://upton.house.gov/contact/zipauth.htm,http://upton.house.gov,202-225-3761,Republican,6-Jan-87,3-Jan-17,29,33,MI,Michigan,7,2183 Rayburn House Office Building,rep,,,,
Frederica S. Wilson,5-Nov-42,15-Dec-16,74,F,208 Cannon HOB; Washington DC 20515-0924,https://wilsonforms.house.gov/contact-form,http://wilson.house.gov,202-225-4506,Democrat,5-Jan-11,3-Jan-17,5,68,FL,Florida,25,208 Cannon House Office Building,rep,Yes,,,
G. K. Butterfield,27-Apr-47,15-Dec-16,69,M,2305 Rayburn HOB; Washington DC 20515-3301,https://butterfield.house.gov/email-congressman-butterfield,http://butterfield.house.gov,202-225-3101,Democrat,21-Jul-04,3-Jan-17,12,57,NC,North Carolina,2,2305 Rayburn House Office Building,rep,Yes,,,
Garret Graves,31-Jan-72,15-Dec-16,44,M,204 Cannon HOB; Washington DC 20515-1806,,https://garretgraves.house.gov,202-225-3901,Republican,6-Jan-15,3-Jan-17,1,42,LA,Louisiana,7,204 Cannon House Office Building,rep,,,,
Gary C. Peters,1-Dec-58,15-Dec-16,58,M,724 Hart Senate Office Building Washington DC 20510,https://petersforms.house.gov/contact-us-form,http://www.peters.senate.gov,202-224-6221,Democrat,6-Jan-09,3-Jan-21,7,50,MI,Michigan,,724 Hart Senate Office Building,sen,Yes,,,
Gary J. Palmer,14-May-54,15-Dec-16,62,M,206 Cannon HOB; Washington DC 20515-0106,,https://palmer.house.gov,202-225-4921,Republican,6-Jan-15,3-Jan-17,1,60,AL,Alabama,7,206 Cannon House Office Building,rep,,,,
Gene Green,17-Oct-47,15-Dec-16,69,M,2470 Rayburn HOB; Washington DC 20515-4329,https://green.house.gov/contact-me/email-me,https://green.house.gov,202-225-1688,Democrat,5-Jan-93,3-Jan-17,23,45,TX,Texas,30,2470 Rayburn House Office Building,rep,Yes,,,
George Holding,17-Apr-68,15-Dec-16,48,M,507 Cannon HOB; Washington DC 20515-3313,https://holding.house.gov/contact/email-me,http://holding.house.gov,202-225-3032,Republican,3-Jan-13,3-Jan-17,3,44,NC,North Carolina,14,507 Cannon House Office Building,rep,,,,
Gerald E. Connolly,30-Mar-50,15-Dec-16,66,M,2238 Rayburn HOB; Washington DC 20515-4611,https://forms.house.gov/connolly/contact-form.shtml,http://connolly.house.gov,202-225-1492,Democrat,6-Jan-09,3-Jan-17,7,58,VA,Virginia,12,2238 Rayburn House Office Building,rep,Yes,,,
Glenn Grothman,3-Jul-55,15-Dec-16,61,M,501 Cannon HOB; Washington DC 20515-4906,,http://grothman.house.gov,202-225-2476,Republican,6-Jan-15,3-Jan-17,1,59,WI,Wisconsin,7,501 Cannon House Office Building,rep,,,,
Glenn Thompson,27-Jul-59,15-Dec-16,57,M,124 Cannon HOB; Washington DC 20515-3805,https://thompson.house.gov/contact-me/email-me,http://thompson.house.gov,202-225-5121,Republican,6-Jan-09,3-Jan-17,7,49,PA,Pennsylvania,6,124 Cannon House Office Building,rep,,,,
Grace F. Napolitano,4-Dec-36,15-Dec-16,80,F,1610 Longworth HOB; Washington DC 20515-0532,https://napolitano.house.gov/contact-me/email-me,http://napolitano.house.gov,202-225-5256,Democrat,6-Jan-99,3-Jan-17,17,62,CA,California,33,1610 Longworth House Office Building,rep,Yes,,,
Grace Meng,1-Oct-75,15-Dec-16,41,F,1317 Longworth HOB; Washington DC 20515-3206,https://meng.house.gov/contact/email-me,http://meng.house.gov,202-225-2601,Democrat,3-Jan-13,3-Jan-17,3,37,NY,New York,7,1317 Longworth House Office Building,rep,Yes,,,
Greg Walden,10-Jan-57,15-Dec-16,59,M,2185 Rayburn HOB; Washington DC 20515-3702,https://walden.house.gov/e-mail-greg,http://walden.house.gov,202-225-6730,Republican,6-Jan-99,3-Jan-17,17,41,OR,Oregon,3,2185 Rayburn House Office Building,rep,,,,
Gregg Harper,1-Jun-56,15-Dec-16,60,M,307 Cannon HOB; Washington DC 20515-2403,https://harperforms.house.gov/forms/writeyourrep/,http://harper.house.gov,202-225-5031,Republican,6-Jan-09,3-Jan-17,7,52,MS,Mississippi,4,307 Cannon House Office Building,rep,,,,
Gregory W. Meeks,25-Sep-53,15-Dec-16,63,M,2234 Rayburn HOB; Washington DC 20515-3205,https://meeks.house.gov/contact-me/email-me,http://meeks.house.gov,202-225-3461,Democrat,7-Jan-97,3-Jan-17,19,43,NY,New York,6,2234 Rayburn House Office Building,rep,Yes,,,
Gus M. Bilirakis,8-Feb-63,15-Dec-16,53,M,2112 Rayburn HOB; Washington DC 20515-0912,https://bilirakis.house.gov/email-congressman-bilirakis/,https://bilirakis.house.gov,202-225-5755,Republican,4-Jan-07,3-Jan-17,9,43,FL,Florida,13,2112 Rayburn House Office Building,rep,,,,
Gwen Graham,31-Jan-63,15-Dec-16,53,F,1213 Longworth HOB; Washington DC 20515-0902,,https://graham.house.gov,202-225-5235,Democrat,6-Jan-15,3-Jan-17,1,51,FL,Florida,3,1213 Longworth House Office Building,rep,Yes,,,
Gwen Moore,18-Apr-51,15-Dec-16,65,F,2245 Rayburn HOB; Washington DC 20515-4904,https://gwenmoore.house.gov/contact-form,http://gwenmoore.house.gov,202-225-4572,Democrat,4-Jan-05,3-Jan-17,11,53,WI,Wisconsin,5,2245 Rayburn House Office Building,rep,Yes,,,
